"filename", "language", "JSON", "HTML", "JavaScript", "YAML", "Markdown", "Dart", "Properties", "Groovy", "XML", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\README.md", "Markdown", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 7, 13
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 7, 45
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 11, 6, 69
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\assets\animated_icons\background.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\assets\animated_icons\message_send.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\assets\animated_icons\muscle.json", "JSON", 5904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5904
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
