Date : 2025-05-13 14:09:31
Directory : c:\Users\Modather\FlutterProjects\personal_projects\portfolio
Total : 70 files,  382559 codes, 216 comments, 8666 blanks, all 391441 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| WebAssembly Text Format |          3 |    288,541 |          0 |      8,392 |    296,933 |
| JavaScript              |          8 |     80,544 |         33 |         28 |     80,605 |
| JSON                    |         12 |     11,886 |          0 |          0 |     11,886 |
| Dart                    |         29 |      1,326 |         61 |        178 |      1,565 |
| XML                     |          8 |         90 |         51 |         14 |        155 |
| Groovy                  |          3 |         69 |          6 |         15 |         90 |
| YAML                    |          2 |         51 |         35 |         16 |        102 |
| HTML                    |          2 |         38 |         30 |         14 |         82 |
| Properties              |          2 |          8 |          0 |          2 |         10 |
| Markdown                |          1 |          6 |          0 |          7 |         13 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         70 |    382,559 |        216 |      8,666 |    391,441 |
| . (Files)                                                                                                                 |          3 |         57 |         35 |         23 |        115 |
| android                                                                                                                   |         13 |        167 |         57 |         31 |        255 |
| android (Files)                                                                                                           |          3 |         40 |          0 |          9 |         49 |
| android\app                                                                                                               |          9 |        122 |         57 |         21 |        200 |
| android\app (Files)                                                                                                       |          1 |         32 |          6 |          7 |         45 |
| android\app\src                                                                                                           |          8 |         90 |         51 |         14 |        155 |
| android\app\src\debug                                                                                                     |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                      |          6 |         84 |         43 |         12 |        139 |
| android\app\src\main (Files)                                                                                              |          1 |         52 |         11 |          6 |         69 |
| android\app\src\main\res                                                                                                  |          5 |         32 |         32 |          6 |         70 |
| android\app\src\main\res\drawable                                                                                         |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\mipmap-anydpi-v26                                                                                |          1 |          6 |          0 |          0 |          6 |
| android\app\src\main\res\values                                                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                     |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                   |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                            |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                    |          3 |      5,906 |          0 |          0 |      5,906 |
| assets\animated_icons                                                                                                     |          3 |      5,906 |          0 |          0 |      5,906 |
| lib                                                                                                                       |         29 |      1,326 |         61 |        178 |      1,565 |
| lib (Files)                                                                                                               |          1 |         31 |          0 |          5 |         36 |
| lib\modules                                                                                                               |          3 |        159 |         19 |         12 |        190 |
| lib\resource                                                                                                              |          2 |         35 |          0 |         11 |         46 |
| lib\screens                                                                                                               |         22 |      1,056 |         26 |        138 |      1,220 |
| lib\screens (Files)                                                                                                       |          1 |         47 |          0 |          7 |         54 |
| lib\screens\about                                                                                                         |          8 |        392 |         20 |         74 |        486 |
| lib\screens\about (Files)                                                                                                 |          1 |         21 |          0 |          4 |         25 |
| lib\screens\about\widgets                                                                                                 |          7 |        371 |         20 |         70 |        461 |
| lib\screens\contact                                                                                                       |          3 |        154 |          1 |         12 |        167 |
| lib\screens\contact (Files)                                                                                               |          1 |         90 |          0 |          4 |         94 |
| lib\screens\contact\widgets                                                                                               |          2 |         64 |          1 |          8 |         73 |
| lib\screens\projects                                                                                                      |          5 |        301 |          4 |         26 |        331 |
| lib\screens\projects (Files)                                                                                              |          1 |         43 |          0 |          4 |         47 |
| lib\screens\projects\widgets                                                                                              |          4 |        258 |          4 |         22 |        284 |
| lib\screens\skills                                                                                                        |          2 |         74 |          0 |          7 |         81 |
| lib\screens\skills (Files)                                                                                                |          1 |         51 |          0 |          4 |         55 |
| lib\screens\skills\widgets                                                                                                |          1 |         23 |          0 |          3 |         26 |
| lib\screens\widgets                                                                                                       |          3 |         88 |          1 |         12 |        101 |
| lib\services                                                                                                              |          1 |         45 |         16 |         12 |         73 |
| web                                                                                                                       |          2 |         54 |         15 |          7 |         76 |
| web_app                                                                                                                   |         20 |    375,049 |         48 |      8,427 |    383,524 |
| web_app (Files)                                                                                                           |          7 |     80,020 |         48 |         16 |     80,084 |
| web_app\assets                                                                                                            |          6 |      5,909 |          0 |          0 |      5,909 |
| web_app\assets (Files)                                                                                                    |          3 |          3 |          0 |          0 |          3 |
| web_app\assets\assets                                                                                                     |          3 |      5,906 |          0 |          0 |      5,906 |
| web_app\assets\assets\animated_icons                                                                                      |          3 |      5,906 |          0 |          0 |      5,906 |
| web_app\canvaskit                                                                                                         |          7 |    289,120 |          0 |      8,411 |    297,531 |
| web_app\canvaskit (Files)                                                                                                 |          5 |    182,771 |          0 |      5,514 |    188,285 |
| web_app\canvaskit\chromium                                                                                                |          2 |    106,349 |          0 |      2,897 |    109,246 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                                                  | language                | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\README.md                                                   | Markdown                |          6 |          0 |          7 |         13 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\analysis_options.yaml                                       | YAML                    |          3 |         22 |          4 |         29 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\build.gradle                                    | Groovy                  |         32 |          6 |          7 |         45 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\debug\AndroidManifest.xml                   | XML                     |          3 |          4 |          1 |          8 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\main\AndroidManifest.xml                    | XML                     |         52 |         11 |          6 |         69 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\main\res\drawable-v21\launch_background.xml | XML                     |          4 |          7 |          2 |         13 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\main\res\drawable\launch_background.xml     | XML                     |          4 |          7 |          2 |         13 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml  | XML                     |          6 |          0 |          0 |          6 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\main\res\values-night\styles.xml            | XML                     |          9 |          9 |          1 |         19 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\main\res\values\styles.xml                  | XML                     |          9 |          9 |          1 |         19 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\app\src\profile\AndroidManifest.xml                 | XML                     |          3 |          4 |          1 |          8 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\build.gradle                                        | Groovy                  |         16 |          0 |          3 |         19 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\gradle.properties                                   | Properties              |          3 |          0 |          1 |          4 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\gradle\wrapper\gradle-wrapper.properties            | Properties              |          5 |          0 |          1 |          6 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\android\settings.gradle                                     | Groovy                  |         21 |          0 |          5 |         26 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\assets\animated_icons\background.json                       | JSON                    |          1 |          0 |          0 |          1 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\assets\animated_icons\message_send.json                     | JSON                    |          1 |          0 |          0 |          1 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\assets\animated_icons\muscle.json                           | JSON                    |      5,904 |          0 |          0 |      5,904 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\main.dart                                               | Dart                    |         31 |          0 |          5 |         36 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\modules\project.dart                                    | Dart                    |         90 |         15 |          6 |        111 |
